current_step:50  loss: tensor(4.5816, device='cuda:0', grad_fn=<AddBackward0>)
current_step:100  loss: tensor(4.5772, device='cuda:0', grad_fn=<AddBackward0>)
current_step:150  loss: tensor(4.5697, device='cuda:0', grad_fn=<AddBackward0>)
current_step:200  loss: tensor(4.5662, device='cuda:0', grad_fn=<AddBackward0>)
current_step:250  loss: tensor(4.5634, device='cuda:0', grad_fn=<AddBackward0>)
current_step:300  loss: tensor(4.5589, device='cuda:0', grad_fn=<AddBackward0>)
current_step:350  loss: tensor(4.5582, device='cuda:0', grad_fn=<AddBackward0>)
current_step:400  loss: tensor(4.5544, device='cuda:0', grad_fn=<AddBackward0>)
current_step:450  loss: tensor(4.5521, device='cuda:0', grad_fn=<AddBackward0>)
current_step:500  loss: tensor(4.5513, device='cuda:0', grad_fn=<AddBackward0>)
current_step:550  loss: tensor(4.5496, device='cuda:0', grad_fn=<AddBackward0>)
current_step:600  loss: tensor(4.5470, device='cuda:0', grad_fn=<AddBackward0>)
current_step:650  loss: tensor(4.5451, device='cuda:0', grad_fn=<AddBackward0>)
current_step:700  loss: tensor(4.5432, device='cuda:0', grad_fn=<AddBackward0>)
current_step:750  loss: tensor(4.5426, device='cuda:0', grad_fn=<AddBackward0>)
current_step:800  loss: tensor(4.5416, device='cuda:0', grad_fn=<AddBackward0>)
current_step:850  loss: tensor(4.5399, device='cuda:0', grad_fn=<AddBackward0>)
current_step:900  loss: tensor(4.5390, device='cuda:0', grad_fn=<AddBackward0>)
current_step:950  loss: tensor(4.5382, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1000  loss: tensor(4.5361, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1050  loss: tensor(4.5358, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1100  loss: tensor(4.5358, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1150  loss: tensor(4.5345, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1200  loss: tensor(4.5308, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1300  loss: tensor(4.5301, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1400  loss: tensor(4.5281, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1500  loss: tensor(4.5273, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1550  loss: tensor(4.5269, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1650  loss: tensor(4.5264, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1700  loss: tensor(4.5259, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1800  loss: tensor(4.5257, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1850  loss: tensor(4.5216, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2250  loss: tensor(4.5207, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2300  loss: tensor(4.5190, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2600  loss: tensor(4.5179, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2750  loss: tensor(4.5172, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2850  loss: tensor(4.5149, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2950  loss: tensor(4.5132, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3450  loss: tensor(4.5119, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3800  loss: tensor(4.5117, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3850  loss: tensor(4.5107, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3950  loss: tensor(4.5091, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4150  loss: tensor(4.5088, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4550  loss: tensor(4.5081, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4850  loss: tensor(4.5080, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4900  loss: tensor(4.5074, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5000  loss: tensor(4.5061, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5250  loss: tensor(4.5047, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5600  loss: tensor(4.5042, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6200  loss: tensor(4.5032, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6300  loss: tensor(4.5002, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8900  loss: tensor(4.4997, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9050  loss: tensor(4.4992, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9400  loss: tensor(4.4986, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9750  loss: tensor(4.4969, device='cuda:0', grad_fn=<AddBackward0>)
