current_step:50  loss: tensor(4.5862, device='cuda:0', grad_fn=<AddBackward0>)
current_step:100  loss: tensor(4.5793, device='cuda:0', grad_fn=<AddBackward0>)
current_step:150  loss: tensor(4.5779, device='cuda:0', grad_fn=<AddBackward0>)
current_step:200  loss: tensor(4.5758, device='cuda:0', grad_fn=<AddBackward0>)
current_step:300  loss: tensor(4.5743, device='cuda:0', grad_fn=<AddBackward0>)
current_step:400  loss: tensor(4.5736, device='cuda:0', grad_fn=<AddBackward0>)
current_step:450  loss: tensor(4.5733, device='cuda:0', grad_fn=<AddBackward0>)
current_step:550  loss: tensor(4.5729, device='cuda:0', grad_fn=<AddBackward0>)
current_step:600  loss: tensor(4.5718, device='cuda:0', grad_fn=<AddBackward0>)
current_step:650  loss: tensor(4.5714, device='cuda:0', grad_fn=<AddBackward0>)
current_step:700  loss: tensor(4.5703, device='cuda:0', grad_fn=<AddBackward0>)
current_step:750  loss: tensor(4.5697, device='cuda:0', grad_fn=<AddBackward0>)
current_step:850  loss: tensor(4.5694, device='cuda:0', grad_fn=<AddBackward0>)
current_step:900  loss: tensor(4.5688, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1000  loss: tensor(4.5683, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1050  loss: tensor(4.5675, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1200  loss: tensor(4.5653, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1300  loss: tensor(4.5650, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1400  loss: tensor(4.5637, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1500  loss: tensor(4.5636, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1550  loss: tensor(4.5629, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1650  loss: tensor(4.5628, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1700  loss: tensor(4.5623, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1800  loss: tensor(4.5621, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1850  loss: tensor(4.5599, device='cuda:0', grad_fn=<AddBackward0>)
current_step:1950  loss: tensor(4.5595, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2100  loss: tensor(4.5594, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2250  loss: tensor(4.5592, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2300  loss: tensor(4.5581, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2350  loss: tensor(4.5578, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2450  loss: tensor(4.5571, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2600  loss: tensor(4.5568, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2650  loss: tensor(4.5568, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2700  loss: tensor(4.5557, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2750  loss: tensor(4.5545, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2850  loss: tensor(4.5543, device='cuda:0', grad_fn=<AddBackward0>)
current_step:2950  loss: tensor(4.5527, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3050  loss: tensor(4.5526, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3150  loss: tensor(4.5516, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3450  loss: tensor(4.5506, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3600  loss: tensor(4.5498, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3850  loss: tensor(4.5495, device='cuda:0', grad_fn=<AddBackward0>)
current_step:3950  loss: tensor(4.5479, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4050  loss: tensor(4.5465, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4150  loss: tensor(4.5463, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4550  loss: tensor(4.5458, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4750  loss: tensor(4.5452, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4850  loss: tensor(4.5446, device='cuda:0', grad_fn=<AddBackward0>)
current_step:4900  loss: tensor(4.5444, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5000  loss: tensor(4.5430, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5250  loss: tensor(4.5408, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5600  loss: tensor(4.5408, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5700  loss: tensor(4.5406, device='cuda:0', grad_fn=<AddBackward0>)
current_step:5750  loss: tensor(4.5395, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6100  loss: tensor(4.5393, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6200  loss: tensor(4.5386, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6250  loss: tensor(4.5384, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6300  loss: tensor(4.5365, device='cuda:0', grad_fn=<AddBackward0>)
current_step:6650  loss: tensor(4.5365, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7000  loss: tensor(4.5362, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7100  loss: tensor(4.5361, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7200  loss: tensor(4.5346, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7450  loss: tensor(4.5346, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7650  loss: tensor(4.5344, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7700  loss: tensor(4.5338, device='cuda:0', grad_fn=<AddBackward0>)
current_step:7850  loss: tensor(4.5329, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8000  loss: tensor(4.5324, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8100  loss: tensor(4.5322, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8250  loss: tensor(4.5322, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8400  loss: tensor(4.5315, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8600  loss: tensor(4.5303, device='cuda:0', grad_fn=<AddBackward0>)
current_step:8900  loss: tensor(4.5301, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9000  loss: tensor(4.5300, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9050  loss: tensor(4.5296, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9150  loss: tensor(4.5294, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9250  loss: tensor(4.5288, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9400  loss: tensor(4.5285, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9450  loss: tensor(4.5278, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9750  loss: tensor(4.5271, device='cuda:0', grad_fn=<AddBackward0>)
current_step:9950  loss: tensor(4.5265, device='cuda:0', grad_fn=<AddBackward0>)
